Building ID,Registration ID,Borough,House Number,Street Name,Postcode,# of Dwelling Units,Infested Dwelling Unit Count,Eradicated Unit Count,Re-infested  Dwelling Unit Count,Filing Date,Filing Period Start Date,Filling Period End Date,Latitude,Longitude,Community Board,Council District,2010 Census Tract,BIN,BBL,NTA
806228,221419,BRONX,3130,ALBANY CRESCENT,10463,58,0,0,0,1/28/2019,11/1/2017,11/30/2018,40.87897,-73.903116,8,14,277,2016147,2032670020,Kingsbridge Heights-Van Cortlandt Village
44824,206896,BRONX,3044,ALBANY CRESCENT,10463,36,0,0,0,12/6/2021,11/1/2020,10/31/2021,40.877233,-73.90365,8,14,277,2016127,2032660090,Kingsbridge Heights-Van Cortlandt Village
44826,202473,BRONX,3060,ALBANY CRESCENT,10463,20,0,0,0,4/13/2022,11/1/2020,10/31/2021,40.877521,-73.903765,8,14,277,2016129,2032660097,Kingsbridge Heights-Van Cortlandt Village
44826,202473,BRONX,3060,ALBANY CRESCENT,10463,20,1,1,0,1/9/2019,11/1/2017,11/30/2018,40.877521,-73.903765,8,14,277,2016129,2032660097,Kingsbridge Heights-Van Cortlandt Village
44824,206896,BRONX,3044,ALBANY CRESCENT,10463,36,0,0,0,12/3/2022,11/1/2021,10/31/2022,40.877233,-73.90365,8,14,277,2016127,2032660090,Kingsbridge Heights-Van Cortlandt Village
44822,211223,BRONX,3034,ALBANY CRESCENT,10463,40,0,0,0,12/6/2022,11/1/2021,10/31/2022,40.876573,-73.901554,8,14,273,2015738,2032560190,Kingsbridge Heights-Van Cortlandt Village
44826,202473,BRONX,3060,ALBANY CRESCENT,10463,20,0,0,0,2/28/2023,11/1/2021,10/31/2022,40.877521,-73.903765,8,14,277,2016129,2032660097,Kingsbridge Heights-Van Cortlandt Village
44822,211223,BRONX,3034,ALBANY CRESCENT,10463,40,0,0,0,4/9/2021,11/1/2019,10/31/2020,40.876573,-73.901554,8,14,273,2015738,2032560190,Kingsbridge Heights-Van Cortlandt Village
806228,221419,BRONX,3130,ALBANY CRESCENT,10463,58,0,0,0,12/24/2019,11/1/2018,10/31/2019,40.87897,-73.903116,8,14,277,2016147,2032670020,Kingsbridge Heights-Van Cortlandt Village
44826,202473,BRONX,3060,ALBANY CRESCENT,10463,20,0,0,0,12/7/2022,11/1/2021,10/31/2022,40.877521,-73.903765,8,14,277,2016129,2032660097,Kingsbridge Heights-Van Cortlandt Village
